List;Item;Order;Target;Sentence;CritWord;SentType;Literality;Cloze probability;Word length;;;;;;;;;
2;49;verb-final;correct;Tessa wilde nooit meer in dat rare T-shirt gymmen, omdat ze voor aap stond tijdens de les.;aap;exp;2,63;0,076923077;3;;;;;;;;;
3;49;verb-first;correct;Tessa wilde nooit meer in dat rare T-shirt gymmen, want ze stond voor aap tijdens de les.;aap;exp;2,63;0,727272727;3;;;;;;;;;
3;78;verb-final;correct;Meester merkte dat Sascha nogal verlegen was, omdat hij op de achtergrond bleef bij groepsactiviteiten.;achtergrond;exp;3,85;0;11;;;;;;;;;
4;78;verb-first;correct;Meester merkte dat Sascha nogal verlegen was, want hij bleef op de achtergrond bij groepsactiviteiten.;achtergrond;exp;3,85;0,466666667;11;;;;;;;;;
4;84;verb-final;correct;Carolien was de deadline voor het artikel nog niet vergeten, omdat ze hem in haar achterhoofd hield al die tijd.;achterhoofd;exp;1,58;0;11;;;;;;;;;
5;84;verb-first;correct;Carolien was de deadline voor het artikel nog niet vergeten, want ze hield hem in haar achterhoofd al die tijd.;achterhoofd;exp;1,58;0,4;11;;;;;;;;;
2;46;verb-final;correct;Bas ontdekte dat zijn conditie erg slecht was, omdat hij naar adem snakte na de hardlooptraining.;adem;exp;4,04;0,692307692;4;;;;;;;;;
3;46;verb-first;correct;Bas ontdekte dat zijn conditie erg slecht was, want hij snakte naar adem na de hardlooptraining.;adem;exp;4,04;1;4;;;;;;;;;
6;145;verb-final;correct;Het was onduidelijk of Lieve zou komen, omdat ze een slag om de arm hield voorlopig.;arm;exp;2,10;0,933333333;3;;;;;;;;;
1;145;verb-first;correct;Het was onduidelijk of Lieve zou komen, want ze hield een slag om de arm voorlopig.;arm;exp;2,10;1;3;;;;;;;;;
5;128;verb-final;correct;Moeder was bang dat Ferry na de vakantie blut zou zijn, omdat hij geld over de balk gooide op Ibiza.;balk;exp;4,55;0,933333333;4;;;;;;;;;
6;128;verb-first;correct;Moeder was bang dat Ferry na de vakantie blut zou zijn, want hij gooide geld over de balk op Ibiza.;balk;exp;4,55;0,923076923;4;;;;;;;;;
4;106;verb-final;correct;Robert wist dat het bestuur geld verduisterde, omdat de kascommissie aan de bel trok in maart.;bel;exp;4,83;0,181818182;3;;;;;;;;;
5;106;verb-first;correct;Robert wist dat het bestuur geld verduisterde, want de kascommissie trok aan de bel in maart.;bel;exp;4,83;0,933333333;3;;;;;;;;;
1;3;verb-final;correct;Stefanie zag dat Martijn zich schaamde, omdat hij met zijn staart tussen zijn benen afdroop na het gesprek.;benen;exp;1,89;1;5;;;;;;;;;
2;3;verb-first;correct;Stefanie zag dat Martijn zich schaamde, want hij droop met zijn staart tussen zijn benen af na het gesprek.;benen;exp;1,89;1;5;;;;;;;;;
1;12;verb-final;correct;De uitgeschakelde tennisser was erg teleurgesteld, omdat hij voor de bijl ging na slechts twee sets.;bijl;exp;2,29;0,307692308;4;;;;;;;;;
2;12;verb-first;correct;De uitgeschakelde tennisser was erg teleurgesteld, want hij ging voor de bijl na slechts twee sets.;bijl;exp;2,29;0,272727273;4;;;;;;;;;
3;77;verb-final;correct;Auke moest Brechtje eigenlijk wel ten huwelijk vragen, omdat ze hem voor het blok zette tijdens Kerst.;blok;exp;3,92;0,909090909;4;;;;;;;;;
4;77;verb-first;correct;Auke moest Brechtje eigenlijk wel ten huwelijk vragen, want ze zette hem voor het blok tijdens Kerst.;blok;exp;3,92;0,933333333;4;;;;;;;;;
5;115;verb-final;correct;Het was niet erg dat Bobs zusje het kaartspel niet snapte, omdat ze voor spek en bonen meedeed met ons.;bonen;exp;3,05;1;5;;;;;;;;;
6;115;verb-first;correct;Het was niet erg dat Bobs zusje het kaartspel niet snapte, want ze deed voor spek en bonen mee met ons.;bonen;exp;3,05;0,923076923;5;;;;;;;;;
6;159;verb-final;correct;Veerle dacht dat Lucas erg verlegen was, omdat hij de kat uit de boom keek bij de borrel.;boom;exp;2,64;1;4;;;;;;;;;
1;159;verb-first;correct;Veerle dacht dat Lucas erg verlegen was, want hij keek de kat uit de boom bij de borrel.;boom;exp;2,64;1;4;;;;;;;;;
3;59;verb-final;correct;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, omdat ze buiten de boot vallen door hun aandoening.;boot;exp;4,48;1;4;;;;;;;;;
4;59;verb-first;correct;Psychiatrische patiënten hebben het moeilijk in deze maatschappij, want ze vallen buiten de boot door hun aandoening.;boot;exp;4,48;0,733333333;4;;;;;;;;;
5;119;verb-final;correct;Het bleek dat Jolien op het juiste moment solliciteerde, omdat ze met haar neus in de boter viel voor die baan.;boter;exp;4,40;1;5;;;;;;;;;
6;119;verb-first;correct;Het bleek dat Jolien op het juiste moment solliciteerde, want ze viel met haar neus in de boter voor die baan.;boter;exp;4,40;1;5;;;;;;;;;
1;20;verb-final;correct;Eva's computerprobleem was snel verholpen, omdat Ernst haar uit de brand hielp vanochtend.;brand;exp;4,46;0,769230769;5;;;;;;;;;
2;20;verb-first;correct;Eva's computerprobleem was snel verholpen, want Ernst hielp haar uit de brand vanochtend.;brand;exp;4,46;0,909090909;5;;;;;;;;;
3;67;verb-final;correct;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, omdat hij een rots in de branding was voor haar.;branding;exp;2,02;0,909090909;8;;;;;;;;;
4;67;verb-first;correct;Tijdens die moeilijke periode kon Angela niet zonder Gerrit, want hij was een rots in de branding voor haar.;branding;exp;2,02;1;8;;;;;;;;;
3;81;verb-final;correct;Danny zapte snel weg van die gruwelijke horrorfilm, omdat hij het in zijn broek deed zowat.;broek;exp;4,96;0,636363636;5;;;;;;;;;
4;81;verb-first;correct;Danny zapte snel weg van die gruwelijke horrorfilm, want hij deed het in zijn broek zowat.;broek;exp;4,96;1;5;;;;;;;;;
5;127;verb-final;correct;Berber eiste uitbetaling van haar overuren, omdat ze zich niet de kaas van het brood liet eten natuurlijk.;brood;exp;4,74;0,933333333;5;;;;;;;;;
6;127;verb-first;correct;Berber eiste uitbetaling van haar overuren, want ze liet zich niet de kaas van het brood eten natuurlijk.;brood;exp;4,74;1;5;;;;;;;;;
1;15;verb-final;correct;Theo kon zijn ogen niet van Natascha afhouden, omdat hij vlinders in zijn buik kreeg van haar.;buik;exp;1,83;1;4;;;;;;;;;
2;15;verb-first;correct;Theo kon zijn ogen niet van Natascha afhouden, want hij kreeg vlinders in zijn buik van haar.;buik;exp;1,83;1;4;;;;;;;;;
3;65;verb-final;correct;Mohammed slaagde met gemak voor zijn wiskundetoets, omdat het een fluitje van een cent was met zijn rekenmachine.;cent;exp;1,99;1;4;;;;;;;;;
4;65;verb-first;correct;Mohammed slaagde met gemak voor zijn wiskundetoets, want het was een fluitje van een cent met zijn rekenmachine.;cent;exp;1,99;1;4;;;;;;;;;
2;44;verb-final;correct;Het was onmogelijk dat Michelle nog moe was, omdat ze een gat in de dag sliep zondag.;dag;exp;1,14;0,769230769;3;;;;;;;;;
3;44;verb-first;correct;Het was onmogelijk dat Michelle nog moe was, want ze sliep een gat in de dag zondag.;dag;exp;1,14;1;3;;;;;;;;;
4;92;verb-final;correct;Sela wist nooit wat ze morgen ging doen, omdat ze bij de dag leefde uit principe.;dag;exp;2,43;0,545454545;3;;;;;;;;;
5;92;verb-first;correct;Sela wist nooit wat ze morgen ging doen, want ze leefde bij de dag uit principe.;dag;exp;2,43;1;3;;;;;;;;;
6;137;verb-final;correct;Uiteindelijk wist iedereen van Robs ontslag, omdat hij het gesprek van de dag was op kantoor.;dag;exp;2,15;1;3;;;;;;;;;
1;137;verb-first;correct;Uiteindelijk wist iedereen van Robs ontslag, want hij was het gesprek van de dag op kantoor.;dag;exp;2,15;1;3;;;;;;;;;
1;11;verb-final;correct;Tijdens het popconcert stond Emma te springen, omdat ze uit haar dak ging met haar vriendinnen.;dak;exp;2,51;0,769230769;3;;;;;;;;;
2;11;verb-first;correct;Tijdens het popconcert stond Emma te springen, want ze ging uit haar dak met haar vriendinnen.;dak;exp;2,51;0,818181818;3;;;;;;;;;
4;98;verb-final;correct;Al snel wist iedereen dat Tijmen vader werd, omdat hij het van de daken schreeuwde op zijn werk.;daken;exp;4,45;0,909090909;5;;;;;;;;;
5;98;verb-first;correct;Al snel wist iedereen dat Tijmen vader werd, want hij schreeuwde het van de daken op zijn werk.;daken;exp;4,45;0,933333333;5;;;;;;;;;
5;123;verb-final;correct;Hessel had geen derde biertje moeten nemen, omdat het hek van de dam was daarna.;dam;exp;4,37;1;3;;;;;;;;;
6;123;verb-first;correct;Hessel had geen derde biertje moeten nemen, want het hek was van de dam daarna.;dam;exp;4,37;1;3;;;;;;;;;
1;24;verb-final;correct;Bart zag dat zijn mop grappig was, omdat zijn vrienden in een deuk lagen op de bank.;deuk;exp;2,13;0,769230769;4;;;;;;;;;
2;24;verb-first;correct;Bart zag dat zijn mop grappig was, want zijn vrienden lagen in een deuk op de bank.;deuk;exp;2,13;1;4;;;;;;;;;
6;141;verb-final;correct;De voorwaardelijke celstraf motiveerde Marcel om zich te gedragen, omdat hij een stok achter de deur had immers.;deur;exp;4,39;0,866666667;4;;;;;;;;;
1;141;verb-first;correct;De voorwaardelijke celstraf motiveerde Marcel om zich te gedragen, want hij had een stok achter de deur immers.;deur;exp;4,39;1;4;;;;;;;;;
2;28;verb-final;correct;Sascha merkte dat Nathan geschrokken was van het ongeluk, omdat hij uit zijn doen was maandagavond.;doen;exp;1,51;0,307692308;4;;;;;;;;;
3;28;verb-first;correct;Sascha merkte dat Nathan geschrokken was van het ongeluk, want hij was uit zijn doen maandagavond.;doen;exp;1,51;0,545454545;4;;;;;;;;;
1;1;verb-final;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, omdat hij een appeltje voor de dorst had ongetwijfeld.;dorst;exp;4,18;1;5;;;;;;;;;
2;1;verb-first;correct;Menno leek niet bang voor geldproblemen na zijn pensioen, want hij had een appeltje voor de dorst ongetwijfeld.;dorst;exp;4,18;0,909090909;5;;;;;;;;;
1;21;verb-final;correct;Dirk wist nu dat hij geen piloot kon worden, omdat de selectiecommissie hem uit de droom hielp tijdens de selectiedag.;droom;exp;2,80;0,307692308;5;;;;;;;;;
2;21;verb-first;correct;Dirk wist nu dat hij geen piloot kon worden, want de selectiecommissie hielp hem uit de droom tijdens de selectiedag.;droom;exp;2,80;0,636363636;5;;;;;;;;;
6;143;verb-final;correct;Peter had met Martine te doen, omdat ze van de regen in de drup belandde door haar ziekte.;drup;exp;2,43;0,933333333;4;;;;;;;;;
1;143;verb-first;correct;Peter had met Martine te doen, want ze belandde van de regen in de drup door haar ziekte.;drup;exp;2,43;1;4;;;;;;;;;
1;18;verb-final;correct;De inheemse bevolking kon geen kant op, omdat de machthebbers hen onder de duim hielden tijdens de oorlog.;duim;exp;3,80;0,769230769;4;;;;;;;;;
2;18;verb-first;correct;De inheemse bevolking kon geen kant op, want de machthebbers hielden hen onder de duim tijdens de oorlog.;duim;exp;3,80;0,727272727;4;;;;;;;;;
4;86;verb-final;correct;Leon had in Amsterdam geen navigatie nodig, omdat hij de stad op zijn duimpje kende inmiddels.;duimpje;exp;1,48;0,909090909;7;;;;;;;;;
5;86;verb-first;correct;Leon had in Amsterdam geen navigatie nodig, want hij kende de stad op zijn duimpje inmiddels.;duimpje;exp;1,48;0,933333333;7;;;;;;;;;
2;53;verb-final;correct;Het vraagstuk over de zorgverzekeringen leek complex te zijn, omdat de minister in het duister tastte bij het debat.;duister;exp;4,36;NA;7;;;;;;;;;
3;53;verb-first;correct;Het vraagstuk over de zorgverzekeringen leek complex te zijn, want de minister tastte in het duister bij het debat.;duister;exp;4,36;NA;7;;;;;;;;;
4;104;verb-final;correct;Paulien vond de beoordeling van de groepsopdracht oneerlijk, omdat Sven met de eer streek van haar werk.;eer;exp;1,21;0,454545455;3;;;;;;;;;
5;104;verb-first;correct;Paulien vond de beoordeling van de groepsopdracht oneerlijk, want Sven streek met de eer van haar werk.;eer;exp;1,21;0,933333333;3;;;;;;;;;
3;69;verb-final;correct;Casper deed niets liever dan schaatsen, omdat hij in zijn element was op het ijs.;element;exp;1,80;0,363636364;7;;;;;;;;;
4;69;verb-first;correct;Casper deed niets liever dan schaatsen, want hij was in zijn element op het ijs.;element;exp;1,80;0,533333333;7;;;;;;;;;
5;114;verb-final;correct;De barbecue kon helaas niet doorgaan, omdat de regen roet in het eten gooide zaterdagavond.;eten;exp;4,18;0,933333333;4;;;;;;;;;
6;114;verb-first;correct;De barbecue kon helaas niet doorgaan, want de regen gooide roet in het eten zaterdagavond.;eten;exp;4,18;1;4;;;;;;;;;
1;17;verb-final;correct;Irene kon niet ongezien weglopen, omdat haar ouders haar in de gaten hielden vanuit de woonkamer.;gaten;exp;2,62;0,769230769;5;;;;;;;;;
2;17;verb-first;correct;Irene kon niet ongezien weglopen, want haar ouders hielden haar in de gaten vanuit de woonkamer.;gaten;exp;2,62;0,909090909;5;;;;;;;;;
5;129;verb-final;correct;De Utrechtsupporter had geen spijt van zijn seizoenskaart, omdat hij waar voor zijn geld kreeg afgelopen weekend.;geld;exp;4,39;0,866666667;4;;;;;;;;;
6;129;verb-first;correct;De Utrechtsupporter had geen spijt van zijn seizoenskaart, want hij kreeg waar voor zijn geld afgelopen weekend.;geld;exp;4,39;1;4;;;;;;;;;
6;140;verb-final;correct;Andries was nog altijd verdrietig over zijn gedwongen ontslag, omdat hij achter de geraniums zat sindsdien.;geraniums;exp;4,70;0,333333333;9;;;;;;;;;
1;140;verb-first;correct;Andries was nog altijd verdrietig over zijn gedwongen ontslag, want hij zat achter de geraniums sindsdien.;geraniums;exp;4,70;0,923076923;9;;;;;;;;;
5;132;verb-final;correct;Dennis geloofde niet in die reclamestunt, omdat er een addertje onder het gras schuilde zoals altijd.;gras;exp;4,44;1;4;;;;;;;;;
6;132;verb-first;correct;Dennis geloofde niet in die reclamestunt, want er schuilde een addertje onder het gras zoals altijd.;gras;exp;4,44;1;4;;;;;;;;;
1;6;verb-final;correct;Jorik haatte Mariekes gemene opmerkingen, omdat hij door de grond ging tegenover zijn klasgenoten.;grond;exp;2,19;0,076923077;5;;;;;;;;;
2;6;verb-first;correct;Jorik haatte Mariekes gemene opmerkingen, want hij ging door de grond tegenover zijn klasgenoten.;grond;exp;2,19;0,545454545;5;;;;;;;;;
2;45;verb-final;correct;Aljan kon Aïda al niet meer versieren, omdat Michiel haar aan de haak sloeg vorige week.;haak;exp;3,39;1;4;;;;;;;;;
3;45;verb-first;correct;Aljan kon Aïda al niet meer versieren, want Michiel sloeg haar aan de haak vorige week.;haak;exp;3,39;0,692307692;4;;;;;;;;;
5;116;verb-final;correct;Matthijs had in paniek zijn moeder gebeld, omdat hij met zijn handen in het haar zat na zijn wiskundetoets.;haar;exp;4,98;1;4;;;;;;;;;
6;116;verb-first;correct;Matthijs had in paniek zijn moeder gebeld, want hij zat met zijn handen in het haar na zijn wiskundetoets.;haar;exp;4,98;1;4;;;;;;;;;
6;162;verb-final;correct;De politie moest een einde maken aan het feestje, omdat het uit de hand liep zaterdag.;hand;exp;2,12;0,866666667;4;;;;;;;;;
1;162;verb-first;correct;De politie moest een einde maken aan het feestje, want het liep uit de hand zaterdag.;hand;exp;2,12;1;4;;;;;;;;;
4;83;verb-final;correct;Gedurende haar studietijd gaf Desirée haar spaargeld nooit uit, omdat ze het achter de hand hield voor later.;hand;exp;4,26;0,909090909;4;;;;;;;;;
5;83;verb-first;correct;Gedurende haar studietijd gaf Desirée haar spaargeld nooit uit, want ze hield het achter de hand voor later.;hand;exp;4,26;0,933333333;4;;;;;;;;;
2;30;verb-final;correct;Neeltje zei dat Floris wel iets zuiniger mocht leven, omdat hij een gat in zijn hand had sinds zijn loonsverhoging.;hand;exp;3,41;0,923076923;4;;;;;;;;;
3;30;verb-first;correct;Neeltje zei dat Floris wel iets zuiniger mocht leven, want hij had een gat in zijn hand sinds zijn loonsverhoging.;hand;exp;3,41;0,909090909;4;;;;;;;;;
3;56;verb-final;correct;In het leger deelde de commandant bevelen uit, omdat hij de touwtjes in handen had op de kazerne.;handen;exp;4,76;1;6;;;;;;;;;
4;56;verb-first;correct;In het leger deelde de commandant bevelen uit, want hij had de touwtjes in handen op de kazerne.;handen;exp;4,76;0,866666667;6;;;;;;;;;
1;14;verb-final;correct;In principe was Victor de baas van het restaurant, omdat hij het heft in handen had sinds vorige zomer.;handen;exp;4,27;1;6;;;;;;;;;
2;14;verb-first;correct;In principe was Victor de baas van het restaurant, want hij had het heft in handen sinds vorige zomer.;handen;exp;4,27;0,909090909;6;;;;;;;;;
2;51;verb-final;correct;Meester besloot Chris geen straf te geven, omdat hij met de hand over het hart streek voor een keertje.;hart;exp;3,25;0,846153846;4;;;;;;;;;
3;51;verb-first;correct;Meester besloot Chris geen straf te geven, want hij streek met de hand over het hart voor een keertje.;hart;exp;3,25;0,909090909;4;;;;;;;;;
1;7;verb-final;correct;De verpleegster had medelijden met de kermende patiënt, omdat hij door een hel ging na die kaakoperatie.;hel;exp;1,49;0,818181818;3;;;;;;;;;
2;7;verb-first;correct;De verpleegster had medelijden met de kermende patiënt, want hij ging door een hel na die kaakoperatie.;hel;exp;1,49;0,692307692;3;;;;;;;;;
4;103;verb-final;correct;De burgemeester had spijt van zijn schaamteloze uitspraken, omdat hij in zijn hemd stond voor iedereen.;hemd;exp;4,85;0,272727273;4;;;;;;;;;
5;103;verb-first;correct;De burgemeester had spijt van zijn schaamteloze uitspraken, want hij stond in zijn hemd voor iedereen.;hemd;exp;4,85;0,866666667;4;;;;;;;;;
6;158;verb-final;correct;Het pianoconcert ontving lovende recencies, omdat de pianiste de sterren van de hemel speelde vrijdagavond.;hemel;exp;1,19;0,933333333;5;;;;;;;;;
1;158;verb-first;correct;Het pianoconcert ontving lovende recencies, want de pianiste speelde de sterren van de hemel vrijdagavond.;hemel;exp;1,19;1;5;;;;;;;;;
3;72;verb-final;correct;De achtervolgde dief ging steeds harder rijden, omdat de politie hem op de hielen zat intussen.;hielen;exp;3,13;1;6;;;;;;;;;
4;72;verb-first;correct;De achtervolgde dief ging steeds harder rijden, want de politie zat hem op de hielen intussen.;hielen;exp;3,13;1;6;;;;;;;;;
3;79;verb-final;correct;Berend viel voor Johanna's zwoele blik, omdat die hem het hoofd op hol bracht met haar ogen.;hol;exp;1,57;0,909090909;3;;;;;;;;;
4;79;verb-first;correct;Berend viel voor Johanna's zwoele blik, want ze bracht hem het hoofd op hol met haar ogen.;hol;exp;1,57;1;3;;;;;;;;;
4;93;verb-final;correct;De leraar baalde van zijn slecht voorbereide les, omdat het in het honderd liep dinsdagmiddag.;honderd;exp;1,25;0,454545455;7;;;;;;;;;
5;93;verb-first;correct;De leraar baalde van zijn slecht voorbereide les, want het liep in het honderd dinsdagmiddag.;honderd;exp;1,25;0,733333333;7;;;;;;;;;
1;16;verb-final;correct;De corrupte bankdirecteur ging vrijuit, omdat zijn collega hem de hand boven het hoofd hield tijdens het onderzoek.;hoofd;exp;4,61;0,923076923;5;;;;;;;;;
2;16;verb-first;correct;De corrupte bankdirecteur ging vrijuit, want zijn collega hield hem de hand boven het hoofd tijdens het onderzoek.;hoofd;exp;4,61;1;5;;;;;;;;;
3;71;verb-final;correct;De scheidsrechter bestrafte de overtreding die achter hem plaatsvond niet, omdat hij hem over het hoofd zag uiteraard.;hoofd;exp;3,87;1;5;;;;;;;;;
4;71;verb-first;correct;De scheidsrechter bestrafte de overtreding die achter hem plaatsvond niet, want hij zag hem over het hoofd uiteraard.;hoofd;exp;3,87;1;5;;;;;;;;;
5;111;verb-final;correct;Jeroen vond Tirza onuitstaanbaar, omdat ze hem de oren van het hoofd kletste tijdens koffiepauzes.;hoofd;exp;1,38;0,866666667;5;;;;;;;;;
6;111;verb-first;correct;Jeroen vond Tirza onuitstaanbaar, want ze kletste hem de oren van het hoofd tijdens koffiepauzes.;hoofd;exp;1,38;1;5;;;;;;;;;
6;146;verb-final;correct;Anita vond de acteur nogal arrogant, omdat hij uit de hoogte deed over zijn acteerkunsten.;hoogte;exp;1,98;0,8;6;;;;;;;;;
1;146;verb-first;correct;Anita vond de acteur nogal arrogant, want hij deed uit de hoogte over zijn acteerkunsten.;hoogte;exp;1,98;0,846153846;6;;;;;;;;;
3;68;verb-final;correct;Saar vrolijkte Bastiaan altijd op, omdat zij het zonnetje in huis was binnen het gezin.;huis;exp;1,17;1;4;;;;;;;;;
4;68;verb-first;correct;Saar vrolijkte Bastiaan altijd op, want zij was het zonnetje in huis binnen het gezin.;huis;exp;1,17;0,933333333;4;;;;;;;;;
5;117;verb-final;correct;Sofia schrok nogal van Michaels plotselinge mededeling, omdat hij met de deur in huis viel eerlijk gezegd.;huis;exp;3,54;1;4;;;;;;;;;
6;117;verb-first;correct;Sofia schrok nogal van Michaels plotselinge mededeling, want hij viel met de deur in huis eerlijk gezegd.;huis;exp;3,54;0,923076923;4;;;;;;;;;
6;148;verb-final;correct;Olivier moest zijn plannen plotseling wijzigen, omdat er een kink in de kabel kwam door de treinstaking.;kabel;exp;4,55;1;5;;;;;;;;;
1;148;verb-first;correct;Olivier moest zijn plannen plotseling wijzigen, want er kwam een kink in de kabel door de treinstaking.;kabel;exp;4,55;1;5;;;;;;;;;
4;97;verb-final;correct;De sollicitant kreeg weinig informatie over de functie, omdat de manager over koetjes en kalfjes praatte tijdens het interview.;kalfjes;exp;4,04;1;7;;;;;;;;;
5;97;verb-first;correct;De sollicitant kreeg weinig informatie over de functie, want de manager praatte over koetjes en kalfjes tijdens het interview.;kalfjes;exp;4,04;1;7;;;;;;;;;
6;160;verb-final;correct;De winnende wielrenner was nu volledig uitgeput, omdat hij het onderste uit de kan haalde in de eindsprint.;kan;exp;4,67;0,933333333;3;;;;;;;;;
1;160;verb-first;correct;De winnende wielrenner was nu volledig uitgeput, want hij haalde het onderste uit de kan in de eindsprint.;kan;exp;4,67;1;3;;;;;;;;;
1;23;verb-final;correct;Hilda vond Maarten een pestkop, omdat hij haar op de kast joeg met zijn getreiter.;kast;exp;3,92;0,153846154;4;;;;;;;;;
2;23;verb-first;correct;Hilda vond Maarten een pestkop, want hij joeg haar op de kast met zijn getreiter.;kast;exp;3,92;0,727272727;4;;;;;;;;;
3;60;verb-final;correct;Joops vrienden wisten al lang dat hij op mannen viel, omdat hij uit de kast kwam op zijn zestiende.;kast;exp;3,92;0,727272727;4;;;;;;;;;
